Full_name,skin_name,Quality,Exterior,Price
爪子刀（★） | 传说 (崭新出厂),爪子刀（★） | 传说,隐秘,崭新出厂,20299.99
爪子刀（★） | 传说 (久经沙场),爪子刀（★） | 传说,隐秘,久经沙场,7562.35
爪子刀（★） | 传说 (破损不堪),爪子刀（★） | 传说,隐秘,破损不堪,7000.00
爪子刀（★） | 传说 (战痕累累),爪子刀（★） | 传说,隐秘,战痕累累,5400.00
爪子刀（★） | 传说 (略有磨损),爪子刀（★） | 传说,隐秘,略有磨损,12378.00
M4A4（StatTrak™） | 赛博 (崭新出厂),M4A4（StatTrak™） | 赛博,保密,崭新出厂,650.00
M4A4（StatTrak™） | 赛博 (久经沙场),M4A4（StatTrak™） | 赛博,保密,久经沙场,145.91
M4A4（StatTrak™） | 赛博 (破损不堪),M4A4（StatTrak™） | 赛博,保密,破损不堪,
M4A4（StatTrak™） | 赛博 (战痕累累),M4A4（StatTrak™） | 赛博,保密,战痕累累,178.28
M4A4（StatTrak™） | 赛博 (略有磨损),M4A4（StatTrak™） | 赛博,保密,略有磨损,330.00
折刀（★） | 狩猎网格 (崭新出厂),折刀（★） | 狩猎网格,隐秘,崭新出厂,
折刀（★） | 狩猎网格 (久经沙场),折刀（★） | 狩猎网格,隐秘,久经沙场,578.66
折刀（★） | 狩猎网格 (破损不堪),折刀（★） | 狩猎网格,隐秘,破损不堪,630.00
折刀（★） | 狩猎网格 (战痕累累),折刀（★） | 狩猎网格,隐秘,战痕累累,700.00
折刀（★） | 狩猎网格 (略有磨损),折刀（★） | 狩猎网格,隐秘,略有磨损,622.00
P2000（StatTrak™） | 电子脉冲 (崭新出厂),P2000（StatTrak™） | 电子脉冲,军规级,崭新出厂,20.59
P2000（StatTrak™） | 电子脉冲 (久经沙场),P2000（StatTrak™） | 电子脉冲,军规级,久经沙场,15.00
P2000（StatTrak™） | 电子脉冲 (破损不堪),P2000（StatTrak™） | 电子脉冲,军规级,破损不堪,21.68
P2000（StatTrak™） | 电子脉冲 (战痕累累),P2000（StatTrak™） | 电子脉冲,军规级,战痕累累,20.00
P2000（StatTrak™） | 电子脉冲 (略有磨损),P2000（StatTrak™） | 电子脉冲,军规级,略有磨损,18.30
P90 | 碧绿升藤 (崭新出厂),P90 | 碧绿升藤,工业级,崭新出厂,9.87
P90 | 碧绿升藤 (久经沙场),P90 | 碧绿升藤,工业级,久经沙场,9.06
P90 | 碧绿升藤 (破损不堪),P90 | 碧绿升藤,工业级,破损不堪,
P90 | 碧绿升藤 (战痕累累),P90 | 碧绿升藤,工业级,战痕累累,14.26
P90 | 碧绿升藤 (略有磨损),P90 | 碧绿升藤,工业级,略有磨损,9.28
沙漠之鹰 | 都市 DDPAT (崭新出厂),沙漠之鹰 | 都市 DDPAT,工业级,崭新出厂,159.82
沙漠之鹰 | 都市 DDPAT (久经沙场),沙漠之鹰 | 都市 DDPAT,工业级,久经沙场,7.49
沙漠之鹰 | 都市 DDPAT (破损不堪),沙漠之鹰 | 都市 DDPAT,工业级,破损不堪,17.50
沙漠之鹰 | 都市 DDPAT (战痕累累),沙漠之鹰 | 都市 DDPAT,工业级,战痕累累,6.83
沙漠之鹰 | 都市 DDPAT (略有磨损),沙漠之鹰 | 都市 DDPAT,工业级,略有磨损,15.00
折刀（★） | 森林 DDPAT (崭新出厂),折刀（★） | 森林 DDPAT,隐秘,崭新出厂,1150.00
